from,to,weight
4672254496,4672254688,1.0
4672254496,4672254976,1.0
4672254784,4672254688,1.0
4672254784,4672254976,1.0
4672254688,4672254880,1.0
4672254688,4672255168,1.0
4672254976,4672254880,1.0
4672254976,4672255168,1.0
4672254880,4672254064,1.0
4672254880,4672254400,1.0
4672255168,4672254064,1.0
4672255168,4672254400,1.0
4672256464,4672256512,1.0
4672256464,4672256800,1.0
4672256608,4672256512,1.0
4672256608,4672256800,1.0
4672256512,4672256704,1.0
4672256512,4672256992,1.0
4672256800,4672256704,1.0
4672256800,4672256992,1.0
4672256704,4672256896,1.0
4672256704,4672257184,1.0
4672256992,4672256896,1.0
4672256992,4672257184,1.0
4672256896,4672257088,1.0
4672256896,4672257376,1.0
4672257184,4672257088,1.0
4672257184,4672257376,1.0
4672257088,4672256464,1.0
4672257088,4672256608,1.0
4672257376,4672256464,1.0
4672257376,4672256608,1.0
4672270832,4672271072,1.0
4672270832,4672271360,1.0
4672271168,4672271072,1.0
4672271168,4672271360,1.0
4672271072,4672271264,1.0
4672271072,4672271552,1.0
4672271360,4672271264,1.0
4672271360,4672271552,1.0
4672271264,4672271456,1.0
4672271264,4672271744,1.0
4672271552,4672271456,1.0
4672271552,4672271744,1.0
4672271456,4672271648,1.0
4672271456,4672271936,1.0
4672271744,4672271648,1.0
4672271744,4672271936,1.0
4672271648,4672270832,1.0
4672271648,4672271168,1.0
4672271936,4672270832,1.0
4672271936,4672271168,1.0
4672273232,4672273280,1.0
4672273232,4672273568,1.0
4672273376,4672273280,1.0
4672273376,4672273568,1.0
4672273280,4672273472,1.0
4672273280,4672273760,1.0
4672273568,4672273472,1.0
4672273568,4672273760,1.0
4672273472,4672273664,1.0
4672273472,4672273952,1.0
4672273760,4672273664,1.0
4672273760,4672273952,1.0
4672273664,4672273856,1.0
4672273664,4672274144,1.0
4672273952,4672273856,1.0
4672273952,4672274144,1.0
4672273856,4672273232,1.0
4672273856,4672273376,1.0
4672274144,4672273232,1.0
4672274144,4672273376,1.0
4672291888,4672291936,1.0
4672291888,4672292224,1.0
4672292032,4672291936,1.0
4672292032,4672292224,1.0
4672291936,4672292128,1.0
4672291936,4672292416,1.0
4672292224,4672292128,1.0
4672292224,4672292416,1.0
4672292128,4672292320,1.0
4672292128,4672292608,1.0
4672292416,4672292320,1.0
4672292416,4672292608,1.0
4672292320,4672292512,1.0
4672292320,4672292800,1.0
4672292608,4672292512,1.0
4672292608,4672292800,1.0
4672292512,4672291888,1.0
4672292512,4672292032,1.0
4672292800,4672291888,1.0
4672292800,4672292032,1.0
4672294096,4672294144,1.0
4672294096,4672294432,1.0
4672294240,4672294144,1.0
4672294240,4672294432,1.0
4672294144,4672294336,1.0
4672294144,4672294624,1.0
4672294432,4672294336,1.0
4672294432,4672294624,1.0
4672294336,4672294528,1.0
4672294336,4672294816,1.0
4672294624,4672294528,1.0
4672294624,4672294816,1.0
4672294528,4672294720,1.0
4672294528,4672311456,1.0
4672294816,4672294720,1.0
4672294816,4672311456,1.0
4672294720,4672294096,1.0
4672294720,4672294240,1.0
4672311456,4672294096,1.0
4672311456,4672294240,1.0
4672312752,4672312800,1.0
4672312752,4672313088,1.0
4672312896,4672312800,1.0
4672312896,4672313088,1.0
4672312800,4672312992,1.0
4672312800,4672313280,1.0
4672313088,4672312992,1.0
4672313088,4672313280,1.0
4672312992,4672313184,1.0
