id,ring_name
4485000736,start
4485912272,tic
4485912128,tac
4485912320,toc
4672181296,tape_L10
4672181488,tape_L10
4672181392,tape_L10
4672181680,tape_L10
4672181584,tape_L10
4672181872,tape_L10
4672181776,tape_L10
4672182064,tape_L10
4672181968,tape_L10
4672182256,tape_L10
4672183168,tape_L10
4672183504,tape_L11
4672183696,tape_L11
4672183600,tape_L11
4672183888,tape_L11
4672183792,tape_L11
4672184080,tape_L11
4672183984,tape_L11
4672184272,tape_L11
4672184176,tape_L11
4672254160,tape_L11
4672255072,tape_L11
4672255408,tape_L12
4672255600,tape_L12
4672255504,tape_L12
4672255792,tape_L12
4672255696,tape_L12
4672255984,tape_L12
4672255888,tape_L12
4672256176,tape_L12
4672256080,tape_L12
4672256368,tape_L12
4672257280,tape_L12
4672257616,tape_L13
4672257808,tape_L13
4672257712,tape_L13
4672258000,tape_L13
4672257904,tape_L13
4672270544,tape_L13
4672270448,tape_L13
4672270736,tape_L13
4672270640,tape_L13
4672270928,tape_L13
4672271840,tape_L13
4672272176,tape_L14
4672272368,tape_L14
4672272272,tape_L14
4672272560,tape_L14
4672272464,tape_L14
4672272752,tape_L14
4672272656,tape_L14
4672272944,tape_L14
4672272848,tape_L14
4672273136,tape_L14
4672274048,tape_L14
4672274384,tape_L15
4672291024,tape_L15
4672290928,tape_L15
4672291216,tape_L15
4672291120,tape_L15
4672291408,tape_L15
4672291312,tape_L15
4672291600,tape_L15
4672291504,tape_L15
4672291792,tape_L15
4672292704,tape_L15
4672293040,tape_L16
4672293232,tape_L16
4672293136,tape_L16
4672293424,tape_L16
4672293328,tape_L16
4672293616,tape_L16
4672293520,tape_L16
4672293808,tape_L16
4672293712,tape_L16
4672294000,tape_L16
4672293088,tape_L16
4672311696,tape_L17
4672311888,tape_L17
4672311792,tape_L17
4672312080,tape_L17
4672311984,tape_L17
4672312272,tape_L17
4672312176,tape_L17
4672312464,tape_L17
4672312368,tape_L17
4672312656,tape_L17
4672313568,tape_L17
4672313904,tape_L18
4672314096,tape_L18
4672314000,tape_L18
4672314288,tape_L18
4672314192,tape_L18
4672314480,tape_L18
4672314384,tape_L18
4672314672,tape_L18
4672314576,tape_L18
4672314864,tape_L18
4672313952,tape_L18
4672328464,tape_L19
4672328656,tape_L19
4672328560,tape_L19
4672328848,tape_L19
4672328752,tape_L19
4672329040,tape_L19
4672328944,tape_L19
4672329232,tape_L19
4672329136,tape_L19
4672329424,tape_L19
4672330336,tape_L19
4672182352,tape_R10
4672182496,tape_R10
4672182400,tape_R10
4672182688,tape_R10
4672182592,tape_R10
4672182880,tape_R10
4672182784,tape_R10
4672183072,tape_R10
4672182976,tape_R10
4672183264,tape_R10
4672181344,tape_R10
4672254064,tape_R11
4672254400,tape_R11
4672254304,tape_R11
4672254592,tape_R11
4672254496,tape_R11
4672254784,tape_R11
4672254688,tape_R11
4672254976,tape_R11
4672254880,tape_R11
4672255168,tape_R11
4672254256,tape_R11
4672256464,tape_R12
4672256608,tape_R12
4672256512,tape_R12
4672256800,tape_R12
4672256704,tape_R12
4672256992,tape_R12
4672256896,tape_R12
4672257184,tape_R12
4672257088,tape_R12
4672257376,tape_R12
4672255456,tape_R12
4672270832,tape_R13
4672271168,tape_R13
4672271072,tape_R13
